iter	Passed	Remaining
777	850	242
778	851	241
779	852	240
780	854	239
781	855	238
782	856	237
783	857	236
784	858	235
785	859	234
786	860	232
787	861	231
788	862	230
789	864	229
790	865	228
791	866	227
792	867	226
793	868	225
794	869	224
795	870	223
796	871	222
797	872	220
798	874	219
799	875	218
800	876	217
801	878	216
802	879	215
803	880	214
804	881	213
805	882	212
806	884	211
807	885	210
808	886	209
809	888	208
810	889	207
811	890	206
812	891	205
813	892	203
814	893	202
815	894	201
816	896	200
817	897	199
818	898	198
819	898	197
820	900	196
821	901	195
822	903	194
823	904	193
824	905	192
825	906	190
826	907	189
827	909	188
828	910	187
829	911	186
830	913	185
831	914	184
832	915	183
833	917	182
834	918	181
835	919	180
836	920	179
837	921	178
838	922	177
839	923	175
840	924	174
841	926	173
842	927	172
843	928	171
844	929	170
845	930	169
846	932	168
847	933	167
848	934	166
849	935	165
850	936	163
851	937	162
852	938	161
853	940	160
854	941	159
855	942	158
856	943	157
857	945	156
858	946	155
859	948	154
860	949	153
861	950	152
862	952	151
863	953	150
864	954	148
865	955	147
866	956	146
867	957	145
868	958	144
869	959	143
870	960	142
871	962	141
872	963	140
873	964	139
874	965	137
875	966	136
876	968	135
877	969	134
878	970	133
879	971	132
880	972	131
881	974	130
882	975	129
883	976	128
884	977	127
885	978	125
886	979	124
887	981	123
888	982	122
889	983	121
890	984	120
891	985	119
892	986	118
893	987	117
894	988	115
895	989	114
896	990	113
897	992	112
898	993	111
899	994	110
900	995	109
901	996	108
902	997	107
903	999	106
904	1000	105
905	1001	103
906	1003	102
907	1004	101
908	1005	100
909	1007	99
910	1008	98
911	1009	97
912	1010	96
913	1011	95
914	1013	94
915	1014	93
916	1015	91
917	1016	90
918	1017	89
919	1018	88
920	1019	87
921	1021	86
922	1022	85
923	1024	84
924	1025	83
925	1026	82
926	1027	80
927	1028	79
928	1029	78
929	1030	77
930	1032	76
931	1033	75
932	1034	74
933	1036	73
934	1037	72
935	1038	71
936	1040	69
937	1041	68
938	1042	67
939	1043	66
940	1044	65
941	1045	64
942	1046	63
943	1047	62
944	1049	61
945	1050	59
946	1051	58
947	1052	57
948	1053	56
949	1054	55
950	1056	54
951	1057	53
952	1058	52
953	1059	51
954	1060	49
955	1062	48
956	1063	47
957	1064	46
958	1065	45
959	1066	44
960	1067	43
961	1069	42
962	1070	41
963	1071	40
964	1072	38
965	1073	37
966	1074	36
967	1075	35
968	1077	34
969	1078	33
970	1079	32
971	1080	31
972	1081	30
973	1083	28
974	1084	27
975	1085	26
976	1086	25
977	1088	24
978	1089	23
979	1090	22
980	1091	21
981	1093	20
982	1094	18
983	1095	17
984	1096	16
985	1097	15
986	1098	14
987	1100	13
988	1101	12
989	1102	11
990	1103	10
991	1104	8
992	1105	7
993	1106	6
994	1107	5
995	1108	4
996	1109	3
997	1110	2
998	1111	1
999	1112	0
