iter	Passed	Remaining
148	197	1125
149	198	1124
150	199	1121
151	200	1119
152	201	1116
153	202	1114
154	203	1112
155	205	1114
156	207	1112
157	208	1110
158	209	1108
159	210	1106
160	211	1104
161	213	1103
162	214	1101
163	215	1099
164	216	1097
165	218	1095
166	219	1093
167	220	1092
168	222	1092
169	223	1090
170	224	1088
171	225	1087
172	227	1085
173	228	1083
174	229	1081
175	230	1080
176	232	1079
177	233	1077
178	234	1074
179	235	1073
180	236	1072
181	238	1070
182	239	1068
183	240	1066
184	241	1064
185	242	1062
186	244	1063
187	246	1064
188	247	1063
189	248	1061
190	250	1059
191	251	1059
192	252	1057
193	254	1056
194	255	1055
195	256	1053
196	258	1052
197	259	1051
198	260	1049
199	262	1048
200	263	1047
201	264	1046
202	265	1044
203	268	1046
204	269	1044
205	270	1042
206	271	1040
207	272	1039
208	274	1038
209	276	1038
210	277	1039
211	279	1039
212	283	1046
213	284	1046
214	286	1047
215	288	1047
216	290	1048
217	292	1048
218	293	1047
219	296	1051
220	302	1065
221	303	1063
222	305	1062
223	306	1061
224	307	1060
225	309	1058
226	310	1057
227	312	1056
228	314	1058
229	315	1056
230	317	1055
231	318	1055
232	321	1057
233	322	1056
234	324	1055
235	325	1054
236	327	1053
237	329	1056
238	331	1055
239	333	1057
240	335	1056
241	337	1057
242	340	1059
243	341	1058
244	343	1057
245	345	1058
246	347	1058
247	348	1056
248	349	1055
249	351	1054
250	352	1052
251	354	1051
252	355	1050
253	357	1050
254	360	1052
255	361	1051
256	363	1050
257	365	1049
258	366	1049
259	367	1047
260	369	1045
261	370	1045
262	373	1046
263	375	1046
264	377	1046
265	378	1044
266	379	1042
267	381	1041
268	382	1039
269	384	1038
270	385	1037
271	387	1037
272	389	1036
273	390	1035
274	392	1034
275	394	1034
276	395	1033
277	398	1034
278	400	1033
279	401	1032
280	403	1031
281	406	1034
282	408	1035
283	411	1036
284	412	1034
285	413	1033
286	415	1031
287	416	1030
288	417	1028
289	419	1026
290	421	1027
291	423	1026
292	424	1024
293	425	1021
294	426	1020
295	428	1018
296	429	1016
297	430	1013
298	431	1011
299	432	1009
300	434	1007
301	435	1006
302	437	1005
303	438	1003
304	439	1001
305	440	999
306	442	997
307	443	996
308	445	995
309	446	993
310	447	991
311	449	990
312	450	988
313	452	987
314	453	985
315	454	983
316	455	981
317	457	980
318	458	978
319	459	976
320	460	974
321	462	972
322	463	971
323	464	969
324	465	967
325	467	967
326	469	965
327	470	964
328	471	962
329	473	960
330	474	959
331	475	957
332	477	955
333	478	954
334	479	951
335	480	950
336	482	950
337	484	949
338	486	948
339	488	948
340	489	946
341	490	944
342	492	942
343	493	941
344	494	939
345	496	937
346	497	936
347	499	935
348	501	935
349	502	933
350	504	932
351	505	930
352	506	928
353	507	926
354	509	925
355	510	923
356	511	921
357	514	922
358	516	921
359	518	921
360	519	919
361	520	918
362	522	917
363	524	916
364	526	915
365	527	913
366	529	912
367	531	912
368	532	910
369	533	908
370	535	908
371	537	906
372	538	905
373	539	903
374	541	903
375	543	901
376	545	901
377	547	900
378	548	898
379	549	897
380	551	896
381	553	895
382	554	893
383	556	892
384	557	890
385	560	892
386	562	891
387	564	890
388	565	888
389	567	887
390	568	886
391	570	885
392	572	883
393	573	882
394	575	881
395	576	879
396	578	878
397	580	877
398	581	876
399	583	875
400	585	874
401	588	874
402	590	874
403	591	873
404	593	871
405	594	870
406	596	868
407	597	867
408	598	865
409	600	864
410	601	862
411	603	860
412	604	859
413	606	858
414	608	857
415	609	855
416	610	853
417	612	852
418	613	850
419	615	849
420	617	848
421	618	847
422	620	846
423	622	845
424	623	843
425	624	842
426	626	841
427	628	840
428	630	838
429	631	837
430	633	836
431	634	834
432	637	834
433	638	833
434	640	832
435	642	830
436	644	829
437	645	828
438	647	827
439	649	826
440	650	824
441	653	825
442	655	823
443	656	822
444	658	820
445	659	818
446	660	817
447	662	816
448	664	815
449	665	813
450	668	813
451	669	812
452	671	810
453	672	808
454	673	806
455	674	805
456	676	803
457	677	801
458	678	799
459	679	797
460	680	796
461	682	794
462	684	793
463	685	791
464	686	790
465	688	788
466	689	787
467	691	785
468	692	784
469	693	782
470	695	780
471	696	778
472	698	778
473	700	776
474	701	775
475	702	773
476	703	771
477	705	770
478	706	768
479	707	766
